Bter_protein_ID,Apis_gene_symbol,Apis_locus,Amel_v4_5,Apis_gene_ID,Apis_gene_description,BEEBASE,OGS_v1_1,Bter_gene_ID,Bter_gene_description,Bter_gene_symbol
XP_003393130.1,LOC725980,LOC725980,XP_001121760.2,725980,"PREDICTED: 28S ribosomal protein S36, mitochondrial",GB45496,GB12057,XM_003393082.2,"28S ribosomal protein S36, mitochondrial",LOC100645934
XP_003393134.1,LOC551357,otd2,XP_006571301.1,551357,PREDICTED: uncharacterized protein LOC551357 isoform X2,GB45501,GB11566,XM_003393086.2,LOW QUALITY PROTEIN: homeobox protein otx5-B-like,LOC100646401
XP_003393136.1,LOC410686,LOC410686,XP_394163.3,410686,PREDICTED: semaphorin-1A isoform X1,GB45518,GB11468,XM_003393088.2,semaphorin-1A isoform X1,LOC100646648
XP_003393140.1,LOC413499,LOC413499,XP_396943.1,413499,PREDICTED: cell division cycle protein 23 homolog,GB45507,GB19210,XM_003393092.2,cell division cycle protein 23 homolog isoform X1,LOC100647089
XP_003393141.1,LOC725609,LOC725609,NP_001129659.1,725609,heat shock factor binding protein 1-like,GB45505,GB16802,XM_003393093.2,heat shock factor-binding protein 1,LOC100647209
XP_003393142.1,LOC409937,LOC409937,XP_016771838.1,409937,PREDICTED: neither inactivation nor afterpotential protein C isoform X1,GB45512,GB19420,XM_003393094.2,neither inactivation nor afterpotential protein C,LOC100647528
XP_003393146.1,LOC100577043,LOC100577043,XP_006571499.1,100577043,PREDICTED: uncharacterized protein LOC100577043,GB49262,GB13426,XM_003393098.2,uncharacterized protein LOC100647954,LOC100647954
XP_003393151.1,LOC725239,LOC725239,XP_001121112.1,725239,PREDICTED: serine/arginine repetitive matrix protein 1-like isoform X1,GB51560,GB18385,XM_003393103.2,RNA-binding protein 33-like,LOC100648663
XP_003393158.1,LOC100576662,LOC100576662,XP_003251744.1,100576662,PREDICTED: uncharacterized protein LOC100576662 isoform X1,GB49261,NA,XM_003393110.2,uncharacterized protein LOC100649722,LOC100649722
XP_003393159.2,LOC726148,LOC726148,XP_003251706.2,726148,PREDICTED: kin of IRRE-like protein 2 isoform X1,GB45525,GB16244,XM_003393111.2,kin of IRRE-like protein 2,LOC100649835
XP_003393164.1,LOC413502,LOC413502,XP_016773401.1,413502,PREDICTED: protein Wnt-1,GB45510,GB19984,XM_003393116.2,protein Wnt-1,LOC100650550
XP_003393165.1,LOC725273,LOC725273,XP_001120347.2,725273,PREDICTED: uncharacterized protein LOC725273 isoform X1,GB49260,GB11717,XM_003393117.2,uncharacterized protein LOC100650672,LOC100650672
XP_003393168.1,LOC551280,LOC551280,XP_623678.2,551280,PREDICTED: uncharacterized protein LOC551280 isoform X1,GB40012,GB16776,XM_003393120.2,uncharacterized protein LOC100651029,LOC100651029
XP_003393171.1,LOC724904,LOC724904,XP_001120805.1,724904,PREDICTED: acylphosphatase-2 isoform X1,GB40013,GB17455,XM_003393123.2,acylphosphatase-2,LOC100651394
XP_003393172.1,LOC724195,LOC724195,XP_006571466.1,724195,PREDICTED: B-cell receptor CD22 isoform X2,GB51630,GB10494,XM_003393124.2,B-cell receptor CD22,LOC100651512
XP_003393173.1,LOC551207,LOC551207,XP_623605.2,551207,PREDICTED: RNA polymerase II subunit A C-terminal domain phosphatase,GB51629,GB13837,XM_003393125.2,LOW QUALITY PROTEIN: RNA polymerase II subunit A C-terminal domain phosphatase,LOC100651629
XP_003393174.1,LOC412262,LOC412262,XP_395724.2,412262,PREDICTED: protein Hook homolog 3,GB51541,GB18499,XM_003393126.2,protein Hook homolog 3-like,LOC100651744
XP_003393175.1,LOC100576938,LOC100576938,XP_016770824.1,100576938,PREDICTED: centromere protein L-like isoform X1,GB51540,GB13804,XM_003393127.2,centromere protein L-like,LOC100651864
XP_003393176.2,LOC551281,LOC551281,XP_006571459.2,551281,PREDICTED: snurportin-1,GB51628,GB11998,XM_003393128.2,LOW QUALITY PROTEIN: snurportin-1,LOC100651980
XP_003393177.1,LOC551158,LOC551158,XP_623556.1,551158,"PREDICTED: 28S ribosomal protein S17, mitochondrial",GB51539,GB10343,XM_003393129.2,"28S ribosomal protein S17, mitochondrial",LOC100652102
XP_003393179.1,LOC412406,LOC412406,XP_006571452.1,412406,PREDICTED: PH-interacting protein,GB51542,GB13646,XM_003393131.2,PH-interacting protein isoform X1,LOC100642191
XP_003393180.1,LOC551472,LOC551472,XP_623870.2,551472,PREDICTED: trafficking protein particle complex subunit 10 isoform X1,GB51544,GB16250,XM_003393132.2,LOW QUALITY PROTEIN: trafficking protein particle complex subunit 10,LOC100642314
XP_003393181.1,LOC551418,LOC551418,XP_623813.1,551418,PREDICTED: 60S ribosomal protein L13a,GB51543,GB16111,XM_003393133.2,60S ribosomal protein L13a,LOC100642552
XP_003393185.1,LOC408572,LOC408572,XP_392114.1,408572,PREDICTED: myophilin,GB51551,GB12375,XM_003393137.2,myophilin isoform X1,LOC100642913
XP_003393189.1,LOC727229,LOC727229,XP_001122939.2,727229,PREDICTED: protein HIRA homolog,GB51633,GB10236,XM_003393141.2,protein HIRA homolog,LOC100643473
XP_003393191.1,LOC408578,LOC408578,XP_392120.2,408578,PREDICTED: armadillo repeat-containing protein 6 homolog,GB42252,GB15448,XM_003393143.2,armadillo repeat-containing protein 6 homolog,LOC100643839
XP_003393193.1,LOC551680,LOC551680,XP_006571288.1,551680,PREDICTED: glycine receptor subunit alpha-4 isoform X1,GB15968,GB15968,XM_003393145.2,glycine receptor subunit alpha-4 isoform X1,LOC100644201
XP_003393194.1,LOC408576,LOC408576,XP_016773290.1,408576,PREDICTED: potassium voltage-gated channel protein Shal isoform X1,GB42249,GB17390,XM_003393146.2,potassium voltage-gated channel protein Shal,LOC100644319
XP_003393197.1,LOC551762,LOC551762,XP_624152.2,551762,PREDICTED: adenosylhomocysteinase 2-like isoform X1,GB42203,GB15919,XM_003393149.2,putative adenosylhomocysteinase 2 isoform X1,LOC100644670
XP_003393198.1,LOC551762,LOC551762,XP_006571270.1,551762,PREDICTED: adenosylhomocysteinase 2-like isoform X2,GB42203,GB15919,XM_003393150.2,putative adenosylhomocysteinase 2 isoform X3,LOC100644670
XP_003393203.1,LOC413245,LOC413245,XP_006571254.1,413245,PREDICTED: RNA exonuclease 4 isoform X1,GB42238,GB16285,XM_003393155.2,RNA exonuclease 4 isoform X1,LOC100645360
XP_003393208.1,LOC408580,LOC408580,XP_006571252.1,408580,PREDICTED: eukaryotic translation initiation factor 2D isoform X2,GB42207,GB10950,XM_003393160.2,eukaryotic translation initiation factor 2D,LOC100645902
XP_003393210.1,LOC552141,LOC552141,XP_624523.2,552141,"PREDICTED: beta-1,4-N-acetylgalactosaminyltransferase bre-4",GB42231,GB19534,XM_003393162.2,"beta-1,4-N-acetylgalactosaminyltransferase bre-4",LOC100646215
XP_003393213.1,LOC412601,LOC412601,XP_396056.4,412601,PREDICTED: mothers against decapentaplegic homolog 3 isoform X1,GB42213,GB19607,XM_003393165.2,LOW QUALITY PROTEIN: mothers against decapentaplegic homolog 3,LOC100646575
XP_003393215.1,LOC552251,LOC552251,XP_006571219.1,552251,PREDICTED: homeobox protein aristaless-like,GB42227,GB11341,XM_003393167.2,homeobox protein aristaless-like,LOC100646892
XP_003393216.1,LOC411351,LOC411351,XP_006571218.1,411351,"PREDICTED: elongation factor G, mitochondrial",GB42223,GB17379,XM_003393168.2,"elongation factor G, mitochondrial",LOC100647010
XP_003393217.1,LOC552332,LOC552332,XP_624711.1,552332,PREDICTED: PC4 and SFRS1-interacting protein,GB42216,GB18999,XM_003393169.2,PC4 and SFRS1-interacting protein isoform X1,LOC100647250
XP_003393227.2,LOC552435,LOC552435,XP_016772204.1,552435,PREDICTED: ER degradation-enhancing alpha-mannosidase-like protein 3,GB53949,GB11659,XM_003393179.2,ER degradation-enhancing alpha-mannosidase-like protein 3,LOC100648424
XP_003393241.1,LOC100578543,LOC100578543,XP_003251771.1,100578543,PREDICTED: uncharacterized protein LOC100578543,GB53930,NA,XM_003393193.2,uncharacterized protein LOC100650067,LOC100650067
XP_003393243.1,LOC410776,LOC410776,XP_394252.2,410776,PREDICTED: protein 60A,GB53962,GB18733,XM_003393195.2,protein 60A,LOC100650311
XP_003393245.1,LOC552068,LOC552068,XP_624449.2,552068,PREDICTED: protein phosphatase 1L isoform X1,GB53932,GB17110,XM_003393197.2,protein phosphatase 1L,LOC100650551
XP_003393246.1,LOC552197,LOC552197,XP_624577.1,552197,PREDICTED: cysteine protease ATG4B,GB53958,GB16585,XM_003393198.2,cysteine protease ATG4B isoform X5,LOC100650799
XP_003393250.1,LOC100578146,LOC100578146,XP_003251770.1,100578146,PREDICTED: meiosis-specific coiled-coil domain-containing protein MEIOC-like,GB53956,GB13666,XM_003393202.2,uncharacterized protein C17orf104-like,LOC100651357
XP_003393256.1,LOC724993,LOC724993,XP_006571730.1,724993,PREDICTED: uncharacterized protein LOC724993,GB53925,GB13028,XM_003393208.2,BMP-binding endothelial regulator protein-like,LOC100652150
XP_003393259.1,LOC100578005,LOC100578005,XP_003251769.2,100578005,PREDICTED: nucleolar protein 56,GB53954,GB14895,XM_003393211.2,nucleolar protein 56,LOC100642315
XP_003393260.1,LOC410050,LOC410050,XP_393536.2,410050,PREDICTED: mitotic checkpoint protein BUB3,GB53939,GB15882,XM_003393212.2,mitotic checkpoint protein BUB3,LOC100642435
XP_003393263.1,LOC724118,LOC724118,XP_006571694.1,724118,PREDICTED: mitochondrial fission regulator 2-like,GB53950,GB17835,XM_003393215.2,mitochondrial fission regulator 2-like isoform X1,LOC100642794
XP_003393264.1,LOC410057,LOC410057,XP_006571687.1,410057,PREDICTED: uncharacterized protein LOC410057 isoform X1,GB53948,GB19060,XM_003393216.2,uncharacterized protein LOC100642914 isoform X1,LOC100642914
XP_003393267.1,LOC102656599,LOC102656599,XP_006571692.1,102656599,"PREDICTED: HIG1 domain family member 1A, mitochondrial-like",NA,GB15440,XM_003393219.2,HIG1 domain family member 1C-like,LOC100643272
XP_003393271.1,LOC551633,LOC551633,XP_624027.1,551633,PREDICTED: pleckstrin homology domain-containing family F member 2,GB51533,GB12112,XM_003393223.2,pleckstrin homology domain-containing family F member 2,LOC100643753
XP_003393272.1,LOC551606,LOC551606,XP_624000.1,551606,PREDICTED: exosome complex component RRP43-like,GB51534,GB19173,XM_003393224.2,exosome complex component RRP43-like,LOC100643876
XP_003393273.1,LOC412449,LOC412449,XP_395906.3,412449,PREDICTED: caltractin,GB51635,GB10266,XM_003393225.2,caltractin,LOC100644001
XP_003393274.1,LOC409923,LOC409923,XP_393414.4,409923,PREDICTED: leishmanolysin-like peptidase isoform X1,GB42313,GB10205,XM_003393226.2,leishmanolysin-like peptidase,LOC100644117
XP_003393278.1,LOC102654257,LOC102654257,XP_006571771.1,102654257,PREDICTED: uncharacterized protein LOC102654257,NA,NA,XM_003393230.2,uncharacterized protein LOC100644592,LOC100644592
XP_003393281.1,LOC551530,LOC551530,XP_016772618.1,551530,PREDICTED: putative U5 small nuclear ribonucleoprotein 200 kDa helicase,GB53909,GB15157,XM_003393233.2,putative U5 small nuclear ribonucleoprotein 200 kDa helicase,LOC100644952
XP_003393283.1,LOC727452,LOC727452,XP_016771105.1,727452,PREDICTED: sorting nexin-6,GB54929,GB13777,XM_003393235.2,LOW QUALITY PROTEIN: sorting nexin-6,LOC100645180
XP_003393284.1,LOC724798,LOC724798,XP_006571622.1,724798,PREDICTED: tRNA (guanine(10)-N2)-methyltransferase homolog,GB54928,GB18423,XM_003393236.2,tRNA (guanine(10)-N2)-methyltransferase homolog,LOC100645308
XP_003393287.1,LOC100578883,LOC100578883,XP_003251754.1,100578883,PREDICTED: uncharacterized protein LOC100578883,GB55002,GB13447,XM_003393239.2,uncharacterized protein LOC100645740,LOC100645740
XP_003393289.1,LOC411548,LOC411548,XP_006571631.1,411548,PREDICTED: protein phosphatase 1 regulatory subunit 16A isoform X3,GB55003,GB16217,XM_003393241.2,protein phosphatase 1 regulatory subunit 16A isoform X2,LOC100645975
XP_003393295.1,LOC725154,LOC725154,XP_001121032.1,725154,PREDICTED: serine protease snake isoform X1,GB55007,GB14044,XM_003393247.2,serine protease snake-like,LOC100646730
XP_003393296.1,LOC551242,LOC551242,XP_623637.3,551242,PREDICTED: eukaryotic translation initiation factor 3 subunit E isoform X1,GB53916,GB19077,XM_003393248.2,eukaryotic translation initiation factor 3 subunit E isoform X1,LOC100646852
XP_003393297.1,LOC551889,LOC551889,XP_624278.2,551889,PREDICTED: uncharacterized protein CG10915 isoform X2,GB54920,GB18877,XM_003393249.2,uncharacterized protein CG10915 isoform X2,LOC100646973
XP_003393301.1,LOC551960,LOC551960,XP_003251758.1,551960,PREDICTED: eukaryotic translation initiation factor 3 subunit K,GB55011,GB18221,XM_003393253.2,eukaryotic translation initiation factor 3 subunit K,LOC100647565
XP_003393303.1,LOC552426,LOC552426,XP_624803.2,552426,PREDICTED: palmitoyltransferase ZDHHC7 isoform X1,GB54917,GB15047,XM_003393255.2,palmitoyltransferase ZDHHC3 isoform X1,LOC100647801
XP_003393305.1,LOC409887,LOC409887,XP_393377.4,409887,PREDICTED: transcription factor Dp-1,GB55012,GB13495,XM_003393257.2,transcription factor Dp-1,LOC100648044
XP_003393306.1,LOC724639,LOC724639,XP_001120530.1,724639,PREDICTED: myeloma-overexpressed gene 2 protein homolog,GB54914,NA,XM_003393258.2,myeloma-overexpressed gene 2 protein homolog,LOC100648156
XP_003393307.1,LOC409127,LOC409127,XP_392652.2,409127,PREDICTED: tyrosine-protein kinase Abl isoform X1,GB54910,GB11301,XM_003393259.2,tyrosine-protein kinase Abl isoform X1,LOC100648270
XP_003393308.1,LOC409127,LOC409127,XP_006571663.1,409127,PREDICTED: tyrosine-protein kinase Abl isoform X5,GB54910,GB11301,XM_003393260.2,tyrosine-protein kinase Abl isoform X5,LOC100648270
XP_003393310.1,LOC409126,LOC409126,XP_392651.2,409126,PREDICTED: ras-related protein Rab-2,GB55014,GB19296,XM_003393262.2,ras-related protein Rab-2,LOC100648544
XP_003393313.1,LOC408643,LOC408643,XP_392183.1,408643,PREDICTED: uncharacterized protein LOC408643 isoform X1,GB55016,GB16507,XM_003393265.2,quinone oxidoreductase isoform X2,LOC100648892
XP_003393316.1,LOC410784,LOC410784,XP_006571673.1,410784,PREDICTED: putative GTP-binding protein 6,GB55017,GB16691,XM_003393268.2,putative GTP-binding protein 6,LOC100649246
XP_003393329.1,LOC100577577,LOC100577577,XP_003251791.1,100577577,PREDICTED: peritrophin-1-like,GB42287,NA,XM_003393281.2,peritrophin-1,LOC100651311
XP_003393332.1,LOC725044,LOC725044,XP_016767496.1,725044,PREDICTED: TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L,GB55006,GB15376,XM_003393284.2,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L isoform X1,LOC100651669
XP_003393333.2,LOC412088,LOC412088,XP_006571642.1,412088,PREDICTED: mucin-12 isoform X1,NA,GB17622,XM_003393285.2,mucin-3A,LOC100651788
XP_003393334.1,LOC724240,LOC724240,XP_001120033.2,724240,PREDICTED: flap endonuclease GEN,GB53910,GB18425,XM_003393286.2,flap endonuclease GEN-like isoform X1,LOC100652029
XP_003393338.1,LOC725651,LOC725651,XP_001121473.1,725651,PREDICTED: uncharacterized protein LOC725651,GB49276,GB16226,XM_003393290.1,uncharacterized protein LOC100642554,LOC100642554
XP_003393341.1,LOC725725,LOC725725,XP_003251779.1,725725,PREDICTED: peritrophin-1-like,GB53911,GB18334,XM_003393293.2,peritrophin-1-like,LOC100642915
XP_003393344.1,LOC408607,LOC408607,XP_003251782.1,408607,PREDICTED: SEC23-interacting protein-like isoform X1,GB53979,GB18106,XM_003393296.2,SEC23-interacting protein isoform X1,LOC100643273
XP_003393349.1,LOC408605,Hsc70-5,NP_001153520.1,408605,heat shock protein cognate 5,GB42297,GB19860,XM_003393301.2,LOW QUALITY PROTEIN: heat shock 70 kDa protein cognate 5,LOC100644048
XP_003393353.1,LOC100577920,LOC100577920,XP_003251794.1,100577920,PREDICTED: uncharacterized protein LOC100577920,GB42300,GB12856,XM_003393305.2,uncharacterized protein LOC100644509,LOC100644509
XP_003393355.1,LOC100577847,LOC100577847,XP_003251792.1,100577847,PREDICTED: uncharacterized protein LOC100577847 isoform X2,GB42303,GB19667,XM_003393307.2,uncharacterized protein LOC100644630 isoform X1,LOC100644630
XP_003393359.1,LOC725081,LOC725081,XP_003251788.1,725081,PREDICTED: nuclear factor erythroid 2-related factor 1 isoform X1,GB42329,GB11981,XM_003393311.2,segmentation protein capncollar isoform X1,LOC100645181
XP_003393361.1,LOC410692,vas,XP_006571765.1,410692,PREDICTED: ATP-dependent RNA helicase vasa isoform X1,GB42306,GB14804,XM_003393313.2,"ATP-dependent RNA helicase vasa, isoform A",LOC100645309
XP_003393362.1,LOC725045,LOC725045,XP_001120941.3,725045,PREDICTED: protein DPCD,GB42330,GB11631,XM_003393314.2,protein DPCD,LOC100645514
XP_003393363.1,LOC412263,LOC412263,XP_006571773.1,412263,PREDICTED: endoplasmic reticulum aminopeptidase 2-like isoform X1,GB42326,GB16506,XM_003393315.2,endoplasmic reticulum aminopeptidase 1 isoform X1,LOC100645619
XP_003393370.1,LOC409199,LOC409199,XP_392723.3,409199,PREDICTED: glycerol kinase,GB49012,GB15200,XM_003393322.2,glycerol kinase-like,LOC100646493
XP_003393371.1,LOC409198,LOC409198,XP_392722.1,409198,PREDICTED: 26S protease regulatory subunit 6A-B,GB49047,GB14678,XM_003393323.2,26S protease regulatory subunit 6A-B,LOC100646613
XP_003393372.1,LOC411778,LOC411778,XP_395245.2,411778,PREDICTED: RNA-binding protein 8A,GB49013,GB17273,XM_003393324.2,RNA-binding protein 8A,LOC100646731
XP_003393373.1,LOC552017,LOC552017,XP_006562362.1,552017,PREDICTED: alpha-catulin isoform X4,GB43719,NA,XM_003393325.2,alpha-catulin isoform X4,LOC100646853
XP_003393374.1,LOC552017,LOC552017,XP_006562360.1,552017,PREDICTED: alpha-catulin isoform X2,GB43719,NA,XM_003393326.2,alpha-catulin isoform X2,LOC100646853
XP_003393375.1,LOC552017,LOC552017,XP_006562359.1,552017,PREDICTED: alpha-catulin isoform X1,GB43719,NA,XM_003393327.2,alpha-catulin isoform X1,LOC100646853
XP_003393376.1,LOC408452,LOC408452,XP_392000.1,408452,PREDICTED: cytochrome P450 9e2,NA,GB17793,XM_003393328.2,cytochrome P450 9e2-like,LOC100647251
XP_003393379.1,LOC725621,LOC725621,XP_016771487.1,725621,PREDICTED: uncharacterized protein LOC725621,NA,GB16803,XM_003393331.2,cytochrome P450 9e2-like,LOC100647566
XP_003393383.1,LOC411663,LOC411663,XP_016771801.1,411663,PREDICTED: uncharacterized protein LOC411663 isoform X1,GB43733,GB15454,XM_003393335.2,uncharacterized protein LOC100648045 isoform X1,LOC100648045
XP_003393384.1,LOC411663,LOC411663,XP_006562371.1,411663,PREDICTED: protein tilB homolog isoform X2,GB43733,GB15454,XM_003393336.2,protein tilB homolog isoform X2,LOC100648045
XP_003393385.1,LOC412271,LOC412271,XP_395732.3,412271,PREDICTED: serine/threonine-protein kinase Aurora-2,GB43732,GB14418,XM_003393337.2,serine/threonine-protein kinase Aurora-2-like,LOC100648234
XP_003393389.1,LOC102656882,LOC102656882,XP_006562365.1,102656882,PREDICTED: cytochrome P450 9e2-like,NA,GB14836,XM_003393341.2,cytochrome P450 9e2-like,LOC100648666
XP_003393391.1,LOC411661,LOC411661,XP_395129.4,411661,PREDICTED: solute carrier family 12 member 9 isoform X1,GB43736,GB19260,XM_003393343.2,LOW QUALITY PROTEIN: solute carrier family 12 member 9,LOC100648926
XP_003393392.1,LOC411662,LOC411662,XP_395130.4,411662,"PREDICTED: probable trans-2-enoyl-CoA reductase, mitochondrial",GB43706,GB19048,XM_003393344.2,"probable trans-2-enoyl-CoA reductase, mitochondrial",LOC100649045
XP_003393393.1,LOC726020,LOC726020,XP_001121796.2,726020,PREDICTED: protein OSCP1,GB43735,NA,XM_003393345.2,protein OSCP1,LOC100649163
XP_003393394.1,LOC410478,nAChRb1,NP_001073028.1,410478,nicotinic acetylcholine receptor beta1 subunit precursor,GB53055,GB17819,XM_003393346.2,acetylcholine receptor subunit beta-like 1,LOC100649612
XP_003393395.1,LOC406148,nAChRa7,NP_001011621.1,406148,nicotinic acetylcholine receptor alpha7 subunit precursor,GB53053,GB19257,XM_003393347.2,neuronal acetylcholine receptor subunit alpha-7-like isoform X2,LOC100649796
XP_003393396.1,LOC411779,LOC411779,XP_016771481.1,411779,PREDICTED: testis-specific serine/threonine-protein kinase 3-like,GB49048,GB17809,XM_003393348.2,testis-specific serine/threonine-protein kinase 3-like isoform X1,LOC100649913
